"Degree","Country","Year","Over-qualification (%)","Undergraduate enrollment (%)"
"Arts and humanities","Denmark",2019,,10
"Arts and humanities","Denmark",2020,,9
"Arts and humanities","Denmark",2021,,9
"Arts and humanities","Denmark",2022,,9
"Arts and humanities","Estonia",2013,36.8,13
"Arts and humanities","Estonia",2014,,14.1
"Arts and humanities","Estonia",2015,,14.1
"Arts and humanities","Estonia",2016,,13
"Arts and humanities","Estonia",2017,,15
"Arts and humanities","Estonia",2018,,15
"Arts and humanities","Estonia",2019,,15
"Arts and humanities","Estonia",2020,,15
"Arts and humanities","Estonia",2021,,15
"Arts and humanities","Estonia",2022,,15
"Arts and humanities","Greece",2013,39.5,14.6
"Arts and humanities","Greece",2014,20.7,12.4
"Arts and humanities","Greece",2015,26.7,14.3
"Arts and humanities","Greece",2016,35.6,13.5
"Arts and humanities","Greece",2017,36.5,13
"Arts and humanities","Greece",2018,42.2,13
"Arts and humanities","Greece",2019,44.6,13
"Arts and humanities","Greece",2020,29.3,13
"Arts and humanities","Greece",2021,43.6,13
"Arts and humanities","Greece",2022,24.3,11
"Arts and humanities","Spain",2013,33.9,14.2
"Arts and humanities","Spain",2014,36.8,14.1
"Arts and humanities","Spain",2015,30.3,14
"Arts and humanities","Spain",2016,34.9,14
"Arts and humanities","Spain",2017,35.2,14
"Arts and humanities","Spain",2018,32.5,14
"Arts and humanities","Spain",2019,24.2,14
"Arts and humanities","Spain",2020,25.7,14
"Arts and humanities","Spain",2021,23.4,14
"Arts and humanities","Spain",2022,25.7,14
"Arts and humanities","Finland",2013,,10.4
"Arts and humanities","Finland",2014,,9.3
"Arts and humanities","Finland",2015,,9
"Arts and humanities","Finland",2016,,9
"Arts and humanities","Finland",2017,,9
"Arts and humanities","Finland",2018,,8
"Arts and humanities","Finland",2019,,9
"Arts and humanities","Finland",2020,,9
"Arts and humanities","Finland",2021,,8
"Arts and humanities","Finland",2022,,8
"Arts and humanities","France",2016,26,22.6
"Arts and humanities","France",2017,19.3,21.8
"Arts and humanities","France",2019,19.3,21
"Arts and humanities","France",2020,15.9,22
"Arts and humanities","France",2021,21.3,21
"Arts and humanities","France",2022,27.1,19
"Arts and humanities","Croatia",2015,,9
"Arts and humanities","Croatia",2016,,10
"Arts and humanities","Croatia",2017,32,10
"Arts and humanities","Croatia",2018,27,9
"Arts and humanities","Croatia",2019,,10
"Arts and humanities","Croatia",2020,,9
"Arts and humanities","Croatia",2021,38.6,9
"Arts and humanities","Croatia",2022,30.2,10
"Arts and humanities","Hungary",2013,,12
"Arts and humanities","Hungary",2014,,12
"Arts and humanities","Hungary",2015,,12.4
"Arts and humanities","Hungary",2016,,12.3
"Arts and humanities","Hungary",2017,,11.7
"Arts and humanities","Hungary",2018,,11
"Arts and humanities","Hungary",2019,,11
"Arts and humanities","Hungary",2020,,10
"Arts and humanities","Hungary",2021,,13
"Arts and humanities","Hungary",2022,,11
"Arts and humanities","Ireland",2013,35,13.5
"Arts and humanities","Ireland",2014,31,19.4
"Arts and humanities","Ireland",2015,35,20
"Arts and humanities","Ireland",2016,30.1,19
"Arts and humanities","Ireland",2017,25.9,20
"Arts and humanities","Ireland",2018,28.5,21
"Arts and humanities","Ireland",2019,,20
"Arts and humanities","Ireland",2020,,19
"Arts and humanities","Ireland",2021,,19
"Arts and humanities","Ireland",2022,,18
"Arts and humanities","Italy",2013,21.1,20.8
"Arts and humanities","Italy",2014,32.6,21.8
"Arts and humanities","Italy",2015,37.3,23
"Arts and humanities","Italy",2016,29.7,22.8
"Arts and humanities","Italy",2017,25,23
"Arts and humanities","Italy",2018,31.9,23
"Arts and humanities","Italy",2019,24.6,22
"Arts and humanities","Italy",2020,19.6,22
"Arts and humanities","Italy",2021,27.4,22
"Arts and humanities","Italy",2022,20.9,21
"Arts and humanities","Lithuania",2013,,9.5
"Arts and humanities","Lithuania",2014,,9.2
"Arts and humanities","Lithuania",2015,,10
"Arts and humanities","Lithuania",2016,,9
"Arts and humanities","Lithuania",2017,16.4,10
"Arts and humanities","Lithuania",2018,,10
"Arts and humanities","Lithuania",2019,,12
"Arts and humanities","Lithuania",2020,,12
"Arts and humanities","Lithuania",2021,,12
"Arts and humanities","Lithuania",2022,,11
"Arts and humanities","Luxembourg",2013,,16.8
"Arts and humanities","Luxembourg",2014,,18.7
"Arts and humanities","Luxembourg",2015,,18
"Arts and humanities","Luxembourg",2016,,21
"Arts and humanities","Luxembourg",2017,,18
"Arts and humanities","Luxembourg",2018,,19
"Arts and humanities","Luxembourg",2019,,13
"Arts and humanities","Luxembourg",2020,,12
"Arts and humanities","Luxembourg",2021,,12
"Arts and humanities","Luxembourg",2022,,12
"Arts and humanities","Latvia",2013,,10
"Arts and humanities","Latvia",2014,,10.6
"Arts and humanities","Latvia",2015,,9
"Arts and humanities","Latvia",2016,,9
"Arts and humanities","Latvia",2017,,8
"Arts and humanities","Latvia",2018,37.2,9
"Arts and humanities","Latvia",2019,,9
"Arts and humanities","Latvia",2020,,9
"Arts and humanities","Latvia",2021,,9
"Arts and humanities","Latvia",2022,,10
"Arts and humanities","Malta",2013,,11.8
"Arts and humanities","Malta",2014,39.6,12.3
"Arts and humanities","Malta",2015,,14.8
"Arts and humanities","Malta",2016,,15.2
"Arts and humanities","Malta",2017,29.3,16
"Arts and humanities","Malta",2018,16.9,13
"Arts and humanities","Malta",2019,24,11
"Arts and humanities","Malta",2020,18.4,12
"Arts and humanities","Malta",2021,14.1,7
"Arts and humanities","Malta",2022,27.4,9
"Arts and humanities","Netherlands",2013,23.4,7.9
"Arts and humanities","Netherlands",2014,20.4,7.7
"Arts and humanities","Netherlands",2015,20.2,8
"Arts and humanities","Netherlands",2016,20.6,7
"Arts and humanities","Netherlands",2017,16.2,7
"Arts and humanities","Netherlands",2018,18.3,7
"Arts and humanities","Netherlands",2019,18.7,7
"Arts and humanities","Netherlands",2020,19.4,7
"Arts and humanities","Netherlands",2021,12.3,7
"Arts and humanities","Netherlands",2022,22.3,7
"Arts and humanities","Poland",2013,18.5,9.9
"Arts and humanities","Poland",2014,17.9,9.9
"Arts and humanities","Poland",2015,11.1,10
"Arts and humanities","Poland",2016,20.8,12
"Arts and humanities","Poland",2022,,12
"Arts and humanities","Portugal",2013,,14.4
"Arts and humanities","Portugal",2014,,15.3
"Arts and humanities","Portugal",2015,,15
"Arts and humanities","Portugal",2016,,14
"Arts and humanities","Portugal",2017,,14
"Arts and humanities","Portugal",2018,,14
"Arts and humanities","Portugal",2019,,14
"Arts and humanities","Portugal",2020,,14
"Arts and humanities","Portugal",2021,,13
"Arts and humanities","Portugal",2022,20.8,13
"Arts and humanities","Romania",2013,,9.5
"Arts and humanities","Romania",2014,,10.8
"Arts and humanities","Romania",2015,,10.6
"Arts and humanities","Romania",2016,,11
"Arts and humanities","Romania",2017,,11
"Arts and humanities","Romania",2018,,11
"Arts and humanities","Romania",2019,,11
"Arts and humanities","Romania",2020,,10
"Arts and humanities","Romania",2021,,11
"Arts and humanities","Romania",2022,,11
"Arts and humanities","Sweden",2013,22.8,20.7
"Arts and humanities","Sweden",2014,30.5,20.5
"Arts and humanities","Sweden",2015,28.2,20
"Arts and humanities","Sweden",2016,31.5,20
"Arts and humanities","Sweden",2017,32.9,18
"Arts and humanities","Sweden",2018,30.2,18
"Arts and humanities","Sweden",2019,22.5,19
"Arts and humanities","Sweden",2020,21.1,20
"Arts and humanities","Sweden",2021,25,20
"Arts and humanities","Sweden",2022,26.5,20
"Arts and humanities","Slovenia",2013,,10
"Arts and humanities","Slovenia",2014,,10.2
"Arts and humanities","Slovenia",2015,21,9.8
"Arts and humanities","Slovenia",2016,38.1,9.7
"Arts and humanities","Slovenia",2017,27,10
"Arts and humanities","Slovenia",2018,32.1,10
"Arts and humanities","Slovenia",2019,20.4,10
"Arts and humanities","Slovenia",2020,26.5,9
"Arts and humanities","Slovenia",2021,,9
"Arts and humanities","Slovenia",2022,,9
"Arts and humanities","Slovakia",2013,,7.5
"Arts and humanities","Slovakia",2015,,7.1
"Arts and humanities","Slovakia",2016,,6.8
"Arts and humanities","Slovakia",2017,,6.8
"Arts and humanities","Slovakia",2018,,7
"Arts and humanities","Slovakia",2019,,7
"Arts and humanities","Slovakia",2020,,7
"Arts and humanities","Slovakia",2021,,7
"Arts and humanities","Slovakia",2022,,6
"Arts and humanities","United Kingdom",2013,32.2,19.1
"Arts and humanities","United Kingdom",2014,28.3,18.5
"Arts and humanities","United Kingdom",2015,30.8,19
