DATAFLOW,LAST UPDATE,freq,unit,isced11,iscedf13,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Germany,2016,9.8,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Germany,2017,11.5,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Germany,2018,12,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Germany,2019,10,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Germany,2020,11,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Germany,2021,11,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Germany,2022,12,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Denmark,2013,8.3,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Denmark,2014,7.2,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Denmark,2015,6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Denmark,2016,6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Denmark,2017,7,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Denmark,2018,7,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Denmark,2019,7,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Denmark,2020,6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Denmark,2021,6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Denmark,2022,6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Estonia,2013,5.1,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Estonia,2014,5.4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Estonia,2015,4.6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Estonia,2016,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Estonia,2017,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Estonia,2018,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Estonia,2019,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Estonia,2020,5,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Estonia,2021,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Estonia,2022,5,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Greece,2013,8.1,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Greece,2014,7.1,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Greece,2015,7.0,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Greece,2016,6.6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Greece,2017,6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Greece,2018,6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Greece,2019,6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Greece,2020,7,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Greece,2021,6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Greece,2022,8,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Spain,2013,12.0,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Spain,2014,11.8,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Spain,2015,12,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Spain,2016,12,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Spain,2017,12,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Spain,2018,12,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Spain,2019,11,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Spain,2020,11,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Spain,2021,11,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Spain,2022,12,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,European Union - 28 countries (2013-2020),2016,6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,European Union - 28 countries (2013-2020),2017,7,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,European Union - 28 countries (2013-2020),2018,6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,European Union - 28 countries (2013-2020),2019,6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Finland,2013,4.4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Finland,2014,4.5,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Finland,2015,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Finland,2016,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Finland,2017,5,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Finland,2018,5,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Finland,2019,5,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Finland,2020,5,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Finland,2021,5,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Finland,2022,5,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,France,2016,1.2,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,France,2017,1.2,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,France,2018,1,b
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,France,2019,1,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,France,2020,1,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,France,2021,1,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,France,2022,1,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Croatia,2015,3,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Croatia,2016,3,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Croatia,2017,3,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Croatia,2018,3,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Croatia,2019,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Croatia,2020,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Croatia,2021,5,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Croatia,2022,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Hungary,2013,5.8,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Hungary,2014,6.9,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Hungary,2015,8.6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Hungary,2016,7.6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Hungary,2017,9.4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Hungary,2018,9,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Hungary,2019,9,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Hungary,2020,9,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Hungary,2021,6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Hungary,2022,7,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Ireland,2013,4.8,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Ireland,2014,5.3,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Ireland,2015,5,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Ireland,2016,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Ireland,2017,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Ireland,2018,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Ireland,2019,5,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Ireland,2020,5,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Ireland,2021,5,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Ireland,2022,5,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Italy,2013,4.1,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Italy,2014,4.0,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Italy,2015,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Italy,2016,3.8,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Italy,2017,3.9,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Italy,2018,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Italy,2019,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Italy,2020,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Italy,2021,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Italy,2022,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Lithuania,2013,5.7,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Lithuania,2014,5.4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Lithuania,2015,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Lithuania,2016,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Lithuania,2017,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Lithuania,2018,3,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Lithuania,2019,3,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Lithuania,2020,3,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Lithuania,2021,4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Lithuania,2022,5,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Luxembourg,2013,9.3,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Luxembourg,2014,9.0,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Luxembourg,2015,8,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Luxembourg,2016,11,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Luxembourg,2017,11,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Luxembourg,2018,15,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Luxembourg,2019,16,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Luxembourg,2020,18,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Luxembourg,2021,16,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Luxembourg,2022,17,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Latvia,2013,6.6,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Latvia,2014,6.4,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Latvia,2015,7,
ESTAT:EDUC_UOE_ENT03(1.0),27/08/24 11:00:00,Annual,Percentage,Bachelor's or equivalent level,Education,Total,Latvia,2016,7,
