economy,series,value,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AUT,SE.ENR.SECO.FM.ZS,"School enrollment, secondary (gross), gender parity index (GPI)",,0.901139974594116,,,,,0.889810025691986,,,,,0.89766001701355,0.911849975585938,0.90513002872467,0.905539989471436,0.92765998840332,0.912199974060059,0.902570009231567,0.90912002325058,0.923259973526001,0.914640009403229,0.922699987888336,0.923500001430511,0.930400013923645,0.93682998418808,0.939140021800995,0.945230007171631,0.953400015830994,0.945990025997162,0.954739987850189,0.959370017051697,0.959190011024475,0.951460003852844,0.948480010032654,0.944930016994476,0.951629996299744,0.960089981555939,0.960520029067993,0.957889974117279,0.955129981040955,0.960730016231537,0.961000025272369,0.962430000305176,0.965590000152588,0.962480008602142,0.964339971542358,0.961210012435913,0.959550023078918,0.964039981365204,0.974910020828247,0.981540024280548,,
AUT,SE.ENR.TERT.FM.ZS,"School enrollment, tertiary (gross), gender parity index (GPI)",,0.426420003175735,0.479999989271164,0.526340007781982,0.547810018062592,0.588180005550385,0.618130028247833,0.638339996337891,0.674759984016418,0.698149979114532,0.72188001871109,0.737450003623962,0.765659987926483,0.799210011959076,0.814610004425049,0.835219979286194,0.856079995632172,0.862990021705627,0.875789999961853,0.873499989509583,0.879620015621185,0.865899980068207,0.875100016593933,0.889020025730133,0.904470026493073,0.934390008449554,0.957239985466003,0.974229991436005,0.998619973659515,,,,,,,,,,,,,,,1.16927003860474,1.16376996040344,1.16585004329681,1.17218995094299,1.17297005653381,1.17596995830536,1.18473994731903,1.19034004211426,1.20816004276276,1.22107994556427
AUT,SE.LPV.PRIM,Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4621486663818,,,,,13.9223461151123,,,,,13.4954071044921,,,,,14.969030380249,
AUT,SE.LPV.PRIM.FE,Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.LPV.PRIM.LD,Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37674164772033,,,,,2.89588952064514,,,,,2.41425991058349,,,,,4.07665348052978,
AUT,SE.LPV.PRIM.LD.FE,Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.LPV.PRIM.LD.MA,Male pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.LPV.PRIM.MA,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.LPV.PRIM.SD,Primary school age children out-of-school (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3552932739257,,,,,11.3552932739257,,,,,11.3552932739257,,,,,11.3552932739257,
AUT,SE.LPV.PRIM.SD.FE,Female primary school age children out-of-school (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.LPV.PRIM.SD.MA,Male primary school age children out-of-school (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.PRE.DURS,"Preprimary education, duration (years)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
AUT,SE.PRE.ENRL.TC.ZS,"Pupil-teacher ratio, preprimary",,27.21207,27.12961,30.79548,30.18892,29.16014,27.66547,26.09417,25.18208,24.42726,23.70444,23.42778,22.65294,22.43253,21.65977,21.64476,22.25542,22.23204,21.99806,21.70653,21.33414,20.88423,20.46772,20.26791,18.18161,16.78911,17.07066,16.75732,16.63873,15.96409,,,15.8013,15.12515,14.82778,14.20749,13.63871,13.53305,13.39389,12.77952,12.41306,12.0153,11.91715,11.67849,11.73775,11.41381,11.14827,11.54012,,,,,
AUT,SE.PRE.ENRR,"School enrollment, preprimary (% gross)",,30.8231906890869,32.9159088134766,35.4454383850098,38.5663299560547,41.8278007507324,45.2012596130371,48.1746215820313,53.4652709960938,58.0970306396484,60.8991889953613,62.0349617004395,62.8418083190918,64.0370330810547,65.6786499023438,68.1618499755859,71.993782043457,73.9921798706055,72.8698577880859,71.0243225097656,71.5110092163086,72.0990676879883,73.1098403930664,75.4896011352539,78.5933990478516,78.6337966918945,79.3561096191406,80.18115234375,79.8991928100586,79.0409698486328,79.9016418457031,81.5127029418945,83.6064529418945,86.2610321044922,88.2419586181641,88.9606628417969,89.9208602905273,91.1830596923828,93.8992919921875,97.1879806518555,100.729591369629,100.814178466797,103.597862243652,100.1884765625,101.019439697266,102.531402587891,104.223106384277,104.383750915527,103.298843383789,102.703750610352,102.857139587402,,
AUT,SE.PRE.ENRR.FE,"School enrollment, preprimary, female (% gross)",,30.8779106140137,32.7399787902832,35.4456405639648,38.3167304992676,41.8625984191895,45.278621673584,48.2403182983398,53.4311218261719,58.1076507568359,61.0017318725586,62.341869354248,62.790699005127,64.0105819702148,65.5251007080078,68.0090789794922,72.0007171630859,73.9929428100586,72.9330825805664,70.9929275512695,71.3200607299805,71.7966384887695,72.7785034179688,75.0166625976563,78.133171081543,78.1489105224609,78.8927688598633,79.6735763549805,79.4537887573242,78.7725067138672,79.8827667236328,81.5035095214844,83.5226211547852,86.1720809936523,87.8400573730469,88.5623931884766,89.4444885253906,90.7831115722656,93.6049880981445,97.6626968383789,100.481719970703,100.688079833984,103.050270080566,99.9055328369141,100.614028930664,103.511749267578,103.980522155762,103.822257995605,102.783012390137,102.221313476563,102.607238769531,,
AUT,SE.PRE.ENRR.MA,"School enrollment, preprimary, male (% gross)",,30.7708892822266,33.0840682983398,35.4452514648438,38.8049011230469,41.7945404052734,45.1273002624512,48.1118392944336,53.4978981018066,58.0868797302246,60.8012886047363,61.7421188354492,62.8905487060547,64.0622329711914,65.8247985839844,68.307243347168,71.987190246582,73.9914627075195,72.8096313476563,71.0542373657227,71.6929473876953,72.3870620727539,73.4250793457031,75.9391174316406,79.0305023193359,79.0943832397461,79.7963104248047,80.6630935668945,80.3219223022461,79.2957077026367,79.919563293457,81.5214309692383,83.6860122680664,86.345458984375,88.6236190795898,89.3392105102539,90.3739624023438,91.5634689331055,94.1791381835938,96.7367172241211,100.965316772461,100.934066772461,104.118377685547,100.457153320313,101.403617858887,101.604843139648,104.451759338379,104.911911010742,103.783340454102,103.156547546387,103.091743469238,,
AUT,SE.PRE.TCAQ.FE.ZS,"Trained teachers in preprimary education, female (% of female teachers)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.PRE.TCAQ.MA.ZS,"Trained teachers in preprimary education, male (% of male teachers)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.PRE.TCAQ.ZS,Trained teachers in preprimary education (% of total teachers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.PRM.AGES,Primary school starting age (years),6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
AUT,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",,95.0436401367188,97.1481475830078,96.5069198608398,,,,,,,,,,,,,,,,,,,,,,,,,99.8747406005859,98.9233322143555,,,99.5028762817383,,100.30689239502,,,,,,,100.442520141602,96.7753067016602,98.5312423706055,98.0967864990234,98.6279830932617,96.5676727294922,98.8874206542969,98.2095718383789,98.9782028198242,97.4406890869141,100.079627990723,96.6240692138672
AUT,SE.PRM.CMPT.MA.ZS,"Primary completion rate, male (% of relevant age group)",,92.5522003173828,95.3436965942383,95.8067092895508,,,,,,,,,,,,,,,,,,,,,,,,,99.3236694335938,99.411979675293,,,99.4993591308594,,101.586448669434,,,,,,,100.790916442871,96.2336502075195,99.1749801635742,96.6232528686523,100.134063720703,97.7116775512695,98.4220428466797,97.3281478881836,99.9173431396484,97.7750930786133,99.5705490112305,97.6607818603516
AUT,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",,93.7638320922852,96.2253570556641,96.151008605957,,,,,,,,,,,,,,,,,,,,,,,,,99.5908584594727,99.1727600097656,,,99.5010681152344,,100.962127685547,,,,,,,100.62183380127,96.4984817504883,98.8614273071289,97.3396606445312,99.3965225219727,97.1509704589844,98.6491775512695,97.7539825439453,99.4589767456055,97.6123962402344,99.8165130615234,97.1591720581055
AUT,SE.PRM.CUAT.FE.ZS,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9999694824219,99.9999694824219,100.0,99.9999694824219,99.9999694824219,100.0
AUT,SE.PRM.CUAT.MA.ZS,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,99.9999694824219,99.9999694824219,100.0,100.0,100.0,100.0,100.0,99.9999694824219,100.0
AUT,SE.PRM.CUAT.ZS,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9999847412109,100.0,99.9999847412109,100.0,100.0,100.0
AUT,SE.PRM.DURS,"Primary education, duration (years)",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
AUT,SE.PRM.ENRL,"Primary education, pupils",,531934.0,534895.0,528541.0,520761.0,513027.0,501843.0,492723.0,466933.0,445103.0,420935.0,400397.0,384986.0,367691.0,354479.0,342779.0,343823.0,343013.0,350734.0,360542.0,367006.0,370210.0,378676.0,382663.0,381628.0,381363.0,382005.0,381927.0,385309.0,388777.0,392407.0,392339.0,386484.0,379920.0,372963.0,362822.0,355293.0,347249.0,337448.0,331565.0,328015.0,326351.0,326955.0,327187.0,327246.84375,327816.84375,329031.5,334933.15625,339021.84375,342064.0,343980.5,346610.5,347620.5
AUT,SE.PRM.ENRL.FE.ZS,"Primary education, pupils (% female)",,48.62088,48.69479,48.76008,48.84986,48.7411,48.71284,48.73408,48.70742,48.73906,48.73532,48.72015,48.67735,48.71155,48.69315,48.67889,48.33185,48.43636,48.41561,48.53637,48.70029,48.73342,48.64185,48.64149,48.59811,48.50654,48.54675,48.50142,48.49121,48.47329,48.44664,48.46064,48.45944,48.55101,48.73996,48.67318,48.51601,48.43556,48.33752,48.47405,48.42035,48.50023,48.5654,48.52027,48.62456,48.51408,48.54505,48.50624,,,,,
AUT,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",,21.43599,21.53882,21.26926,20.63155,20.27134,19.02794,,16.38821,17.08714,15.96325,14.54667,13.96851,13.2592,12.68624,12.16607,10.48049,10.36293,10.52307,10.73233,10.85945,10.81473,10.84969,11.42039,11.90393,11.68606,12.45371,12.22127,12.14873,13.45715,,,13.26801,13.1816,13.13389,12.40884,12.23292,11.86203,11.62932,11.36314,11.02831,10.89398,10.82489,10.7043,10.71766,10.58415,10.30374,10.01653,,,,,
AUT,SE.PRM.ENRR,"School enrollment, primary (% gross)",,102.73796081543,103.092018127441,102.310470581055,101.823501586914,101.974990844727,101.871406555176,103.252723693848,101.651031494141,101.928871154785,102.051780700684,101.016731262207,100.795921325684,100.883750915527,100.243202209473,99.7468338012695,101.788429260254,99.9062118530273,99.3271179199219,98.9008331298828,98.6800689697266,99.317512512207,101.800369262695,103.090591430664,102.913787841797,102.925872802734,102.642890930176,101.887680053711,101.345100402832,101.540962219238,101.86939239502,102.47102355957,102.810722351074,102.384437561035,102.736419677734,102.08748626709,102.310897827148,102.771659851074,102.266273498535,101.361312866211,100.835540771484,100.558326721191,100.335113525391,100.746078491211,100.970321655273,101.104393005371,100.428077697754,101.104568481445,101.370300292969,101.776290893555,101.560852050781,101.644119262695,100.77562713623
AUT,SE.PRM.ENRR.FE,"School enrollment, primary, female (% gross)",,102.17561340332,102.557777404785,101.818946838379,101.670181274414,101.775390625,101.477363586426,103.031860351562,101.317749023438,101.455383300781,101.646507263184,100.484718322754,100.262161254883,100.612861633301,99.9461517333984,99.5299682617188,100.975257873535,99.442756652832,98.8646926879883,98.4107513427734,98.4695129394531,99.0513000488281,101.489318847656,102.890480041504,102.562057495117,102.600708007812,102.103172302246,101.295448303223,100.813667297363,100.97679901123,101.270492553711,101.86499786377,102.157829284668,101.80647277832,102.497276306152,101.777389526367,101.726783752441,102.035339355469,101.526191711426,100.842010498047,100.256912231445,100.182289123535,99.8584976196289,100.094581604004,100.424949645996,100.440399169922,99.9959335327148,100.728820800781,100.999420166016,101.191581726074,101.103019714355,101.30931854248,100.384559631348
AUT,SE.PRM.ENRR.MA,"School enrollment, primary, male (% gross)",,103.275848388672,103.604248046875,102.78263092041,101.970352172852,102.165519714355,102.248519897461,103.463539123535,101.969551086426,102.383186340332,102.440048217773,101.527442932129,101.307456970215,101.142379760742,100.526756286621,99.9534072875977,102.561042785645,100.345512390137,99.7650985717773,99.3675308227539,98.8807983398438,99.5718994140625,102.096733093262,103.280830383301,103.248558044434,103.234062194824,103.157379150391,102.451820373535,101.850540161133,102.077476501465,102.438690185547,103.047462463379,103.432228088379,102.935913085938,102.96484375,102.383308410645,102.86750793457,103.473037719727,102.968551635742,101.854759216309,101.384841918945,100.915061950684,100.789329528809,101.367942810059,101.491966247559,101.738136291504,100.839218139648,101.461097717285,101.720108032227,102.327583312988,101.991371154785,101.958152770996,101.142959594727
AUT,SE.PRM.GINT.FE.ZS,"Gross intake ratio in first grade of primary education, female (% of relevant age group)",,100.74629,99.39621,96.6,,,,,,,,,,,,,,,,,,,,,,,,,105.45598,104.19448,,,99.5139,,101.21564,,,,,,,97.68527,98.93467,98.18161,97.99521,98.14376,99.22767,101.07732,,,,,
AUT,SE.PRM.GINT.MA.ZS,"Gross intake ratio in first grade of primary education, male (% of relevant age group)",,99.24883,98.74948,97.09542,,,,,,,,,,,,,,,,,,,,,,,,,106.85226,106.60296,,,100.40534,,101.5985,,,,,,,97.90298,99.62462,98.65956,97.56554,99.42133,98.86347,100.93894,,,,,
AUT,SE.PRM.GINT.ZS,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",,99.98092,99.06565,96.85323,,,,,,,,,,,,,,,,,,,,,,,,,106.17225,105.43008,,,99.97121,,101.41202,,,,,,,97.79686,99.28816,98.42649,97.77493,98.79947,99.04046,101.00607,,,,,
AUT,SE.PRM.NENR,"School enrollment, primary (% net)",,90.95584,90.16531,88.81081,87.91742,87.62543,87.04474,,,,,,,,,,,,,94.2875,,,,,,,,,,90.24,91.24983,90.30978,88.37171,87.47243,87.70025,87.83857,88.24542,88.16804,87.76118,87.44103,87.36683,87.15916,88.39229,88.38265,88.70387,88.59448,88.84197,88.61718,,,,,
AUT,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",,,,,,,,,,,,,,,,,,,,94.73198,,,,,,,,,,,91.79287,90.85464,88.97418,88.28813,88.85032,88.85073,88.85265,88.66398,88.07856,87.99978,87.91347,87.84316,88.96676,88.93992,89.46177,89.40543,89.691,,,,,,
AUT,SE.PRM.NENR.MA,"School enrollment, primary, male (% net)",,,,,,,,,,,,,,,,,,,,93.86396,,,,,,,,,,,90.73421,89.79216,87.79972,86.69818,86.60841,86.87727,87.66842,87.69637,87.45923,86.90947,86.84695,86.50884,87.8453,87.85159,87.98192,87.82338,88.03688,,,,,,
AUT,SE.PRM.NINT.FE.ZS,"Net intake rate in grade 1, female (% of official school-age population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.PRM.NINT.MA.ZS,"Net intake rate in grade 1, male (% of official school-age population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.PRM.NINT.ZS,Net intake rate in grade 1 (% of official school-age population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",,,,,,,,,,,,,,,,,,,,9.77634,,,,,,,,,,11.0712,10.98639,11.25703,11.68521,11.85547,11.85596,11.8139,12.13756,12.2265,11.77459,11.64426,11.28719,11.47706,11.16527,11.61151,11.66367,11.92393,12.05264,12.54866,,,,,
AUT,SE.PRM.OENR.MA.ZS,"Over-age students, primary, male (% of male enrollment)",,,,,,,,,,,,,,,,,,,,11.52209,,,,,,,,,,13.06833,12.9185,13.19031,13.69405,13.94674,13.94699,13.90415,14.02533,14.26194,13.86075,13.72086,13.50679,13.65978,13.02269,13.65245,13.68867,14.27069,14.11877,14.33064,,,,,
AUT,SE.PRM.OENR.ZS,"Over-age students, primary (% of enrollment)",,11.94622,12.25699,12.20057,12.1236,12.09839,12.29528,,,,,,,,,,,,,10.67476,,,,,,,,,,12.10025,11.98246,12.25343,12.72058,12.93141,12.92782,12.88676,13.10946,13.27606,12.85235,12.71425,12.43205,12.60116,12.12063,12.66218,12.70402,13.13218,13.11577,13.46627,,,,,
AUT,SE.PRM.PRIV.ZS,"School enrollment, primary, private (% of total primary)",,,,2.66242003440857,2.78362011909485,2.87898993492127,,,,,,3.3654100894928,3.47883009910583,3.68190002441406,3.69472002983093,3.81353998184204,3.93835997581482,3.79373002052307,3.81770992279053,3.829509973526,3.89258003234863,3.96504998207092,3.9651300907135,4.47704982757568,4.29946994781494,4.33183002471924,4.32009983062744,4.3044900894165,4.2724199295044,4.26362991333008,4.22596979141235,4.2419900894165,4.30754995346069,4.4161901473999,4.5304799079895,4.680260181427,4.85767984390259,5.20894002914429,5.4491400718689,5.63297986984253,5.74029016494751,5.8093900680542,5.87633991241455,5.88486003875732,5.9918098449707,6.14382982254028,6.23875999450684,6.2130298614502,6.25854015350342,6.27003002166748,6.26677989959717,6.3300199508667,6.29622983932495
AUT,SE.PRM.PRS5.FE.ZS,"Persistence to grade 5, female (% of cohort)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.PRM.PRS5.MA.ZS,"Persistence to grade 5, male (% of cohort)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.PRM.PRSL.FE.ZS,"Persistence to last grade of primary, female (% of cohort)",,95.7780914306641,95.6935424804688,,,,,,,,,,,,,,,,,,,,,,,,,96.9847793579102,97.9602890014648,,,,,99.2590026855469,,,,,,,100.0,100.0,100.0,99.820198059082,99.8797836303711,99.5886383056641,,99.7342987060547,99.7970733642578,99.7817001342773,99.7893295288086,99.3888931274414,
AUT,SE.PRM.PRSL.MA.ZS,"Persistence to last grade of primary, male (% of cohort)",,93.8447418212891,92.8782119750977,,,,,,,,,,,,,,,,,,,,,,,,,95.8065795898438,96.2454299926758,,,,,96.3429412841797,,,,,,,98.8585433959961,99.4888381958008,99.2395401000977,99.1884918212891,98.996208190918,99.519416809082,,99.4899826049805,99.7527618408203,99.458251953125,99.6307678222656,99.4730606079102,
AUT,SE.PRM.PRSL.ZS,"Persistence to last grade of primary, total (% of cohort)",,94.7933502197266,94.2539825439453,,,,,,,,,,,,,,,,,,,,,,,,,96.3759689331055,97.075439453125,,,,,97.7629318237305,,,,,,,99.4116592407227,99.737663269043,99.609489440918,99.4961700439453,99.4277496337891,99.5509185791016,,99.6081390380859,99.7737884521484,99.6143493652344,99.708381652832,99.4324493408203,
AUT,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",,4.52923,4.15333,4.03427,,,,,,,,,,,,,,,,,,,,,,,,,1.18122,1.27406,,,1.03424,,1.07381,,,,,,,2.13987,2.12738,2.25572,2.34599,2.39619,2.51677,2.59597,,,,,
AUT,SE.PRM.REPT.MA.ZS,"Repeaters, primary, male (% of male enrollment)",,6.91467,6.44866,5.90827,,,,,,,,,,,,,,,,,,,,,,,,,1.63906,1.76714,,,1.39561,,1.40704,,,,,,,2.76284,2.76688,2.87589,2.95763,3.08272,3.15411,3.22086,,,,,
AUT,SE.PRM.REPT.ZS,"Repeaters, primary, total (% of total enrollment)",,5.75485,5.33095,4.9945,,,,,,,,,,,,,,,,,,,,,,,,,1.41704,1.52813,,,1.22049,,1.24463,,,,,,,2.46069,2.4563,2.57498,2.66022,2.74966,2.84471,2.91775,,,,,
AUT,SE.PRM.TCAQ.FE.ZS,"Trained teachers in primary education, female (% of female teachers)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.PRM.TCAQ.MA.ZS,"Trained teachers in primary education, male (% of male teachers)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.PRM.TCAQ.ZS,Trained teachers in primary education (% of total teachers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,SE.PRM.TCHR,"Primary education, teachers",,24815.0,24834.0,24850.0,25241.0,25308.0,26374.0,,28492.0,26049.0,26369.0,27525.0,27561.0,27731.0,27942.0,28175.0,32806.0,33100.0,33330.0,33594.0,33796.0,34232.0,34902.0,33507.0,32059.0,32634.0,30674.0,31251.0,31716.0,28890.0,,,29129.0,28822.0,28397.0,29239.0,29044.0,29274.0,29017.0,29179.0,29743.0,29957.0,30203.90234375,30565.955078125,30533.423828125,30972.43359375,31933.224609375,33438.03125,,32234.33984375,32150.228515625,32848.0859375,31243.015625
