,Field (ISCED-F 2013),Country,Year,Enrollment Count,Total,Distribution (%),Enrollment Growth Rate (%),Weighted Enrollment Growth Rate (%),Total Growth Rate (%)
37,Health and welfare,European Union,2018,327490.0,3216104.0,10.182817471076806,-1.0015024047544914,-0.10301283789330196,1.4510564953074097
38,Health and welfare,European Union,2019,333795.0,3349200.0,9.9664098889287,1.925249625942777,0.18825391138182251,4.1384233843184175
39,Health and welfare,European Union,2020,276866.0,2801867.0,9.881482597139692,-17.055078715978368,-2.0318237803578825,-16.342201122656157
40,Health and welfare,European Union,2021,311628.0,2849928.0,10.934592031798697,12.555532279153091,1.2197501129853103,1.7153205344864693
41,Health and welfare,European Union,2022,317879.0,2818346.0,11.278920331286507,2.005917311666474,0.22179675596963608,-1.10816834670911
42,Information and communication technologies,European Union,2016,160699.0,3152474.0,5.097551954433248,,,
43,Information and communication technologies,European Union,2017,163279.0,3170104.0,5.150588119506489,1.6054860328937954,0.08138534256289384,0.5592433117608583
44,Information and communication technologies,European Union,2018,172465.0,3216104.0,5.362544246081594,5.625953123181794,0.2856250917258895,1.4510564953074097
45,Information and communication technologies,European Union,2019,177022.0,3349200.0,5.285501015167801,2.642275244252457,0.13606234324614833,4.1384233843184175
46,Information and communication technologies,European Union,2020,143488.0,2801867.0,5.121156714433626,-18.943408163957024,-1.1968448181159208,-16.342201122656157
47,Information and communication technologies,European Union,2021,137887.0,2849928.0,4.8382625806687045,-3.90346231043711,-0.19653128079025156,1.7153205344864693
48,Information and communication technologies,European Union,2022,144312.0,2818346.0,5.120450079585686,4.659612581316585,0.2279705898424111,-1.10816834670911
49,"Natural sciences, mathematics and statistics",European Union,2016,325899.0,3152474.0,10.337880661347247,,,
50,"Natural sciences, mathematics and statistics",European Union,2017,325006.0,3170104.0,10.252218854649563,-0.2740112734313392,-0.02816942283281558,0.5592433117608583
51,"Natural sciences, mathematics and statistics",European Union,2018,330376.0,3216104.0,10.27255337513961,1.6522771887288235,0.16697221234139192,1.4510564953074097
52,"Natural sciences, mathematics and statistics",European Union,2019,336685.0,3349200.0,10.052699152036308,1.909642346901712,0.18837334288785385,4.1384233843184175
53,"Natural sciences, mathematics and statistics",European Union,2020,241664.0,2801867.0,8.625106045361896,-28.22252253590151,-3.3913458418975635,-16.342201122656157
54,"Natural sciences, mathematics and statistics",European Union,2021,245698.0,2849928.0,8.621200254883632,1.6692597987288136,0.14154743558433758,1.7153205344864693
55,"Natural sciences, mathematics and statistics",European Union,2022,236819.0,2818346.0,8.402765309866142,-3.6137860300043143,-0.3150429365308589,-1.10816834670911
56,Services,European Union,2016,127634.0,3152474.0,4.048693185098434,,,
57,Services,European Union,2017,122499.0,3170104.0,3.8641949917100513,-4.023222652271338,-0.16198206746529448,0.5592433117608583
58,Services,European Union,2018,137623.0,3216104.0,4.279183757739178,12.346223234475383,0.47025842447881033,1.4510564953074097
59,Services,European Union,2019,139871.0,3349200.0,4.176251045025678,1.63344789751713,0.06712050638958557,4.1384233843184175
60,Services,European Union,2020,141433.0,2801867.0,5.047812761990487,1.116743284883929,0.05574854195434688,-16.342201122656157
61,Services,European Union,2021,140633.0,2849928.0,4.934615892050606,-0.5656388537328628,-0.028070884597786325,1.7153205344864693
62,Services,European Union,2022,135767.0,2818346.0,4.817258065546246,-3.4600698271387222,-0.17265445761450152,-1.10816834670911
63,"Social sciences, journalism and information",European Union,2016,345599.0,3152474.0,10.962786687534933,,,
64,"Social sciences, journalism and information",European Union,2017,353422.0,3170104.0,11.148593232272505,2.263606086823168,0.24677423832151882,0.5592433117608583
65,"Social sciences, journalism and information",European Union,2018,365252.0,3216104.0,11.35697104322497,3.3472732314343756,0.3678363635006828,1.4510564953074097
66,"Social sciences, journalism and information",European Union,2019,371134.0,3349200.0,11.081273139854293,1.6103950149485835,0.1756240296190135,4.1384233843184175
67,"Social sciences, journalism and information",European Union,2020,300965.0,2801867.0,10.741587662797698,-18.90664827259157,-2.5043658389209766,-16.342201122656157
68,"Social sciences, journalism and information",European Union,2021,309059.0,2849928.0,10.844449403634057,2.6893492598807174,0.28400717491810323,1.7153205344864693
69,"Social sciences, journalism and information",European Union,2022,301879.0,2818346.0,10.711211469422135,-2.323181010745521,-0.25475935176163605,-1.10816834670911
70,"Agriculture, forestry, fisheries and veterinary",Austria,2013,386.0,47856.0,0.8065864259445001,,,
71,"Agriculture, forestry, fisheries and veterinary",Austria,2014,351.0,43288.0,0.8108482720384402,-9.067357512953368,-0.08085381630012936,-9.545302574389837
72,"Agriculture, forestry, fisheries and veterinary",Austria,2015,393.0,45364.0,0.8663257208359051,11.965811965811966,0.09258442818093643,4.795786361116244
73,"Agriculture, forestry, fisheries and veterinary",Austria,2016,329.0,47580.0,0.6914670029424128,-16.28498727735369,-0.13451029844472467,4.884930782117979
74,"Agriculture, forestry, fisheries and veterinary",Austria,2017,330.0,45180.0,0.7304116865869854,0.303951367781155,0.002213368747233289,-5.044136191677175
75,"Agriculture, forestry, fisheries and veterinary",Austria,2018,261.0,43796.0,0.595944835144762,-20.909090909090907,-0.1575486345785003,-3.063302346170872
76,"Agriculture, forestry, fisheries and veterinary",Austria,2019,288.0,43186.0,0.6668827860880842,10.344827586206897,0.06252026119575789,-1.3928212622157274
77,"Agriculture, forestry, fisheries and veterinary",Austria,2020,304.0,42257.0,0.7194074354544809,5.555555555555555,0.03786354923444636,-2.151160098179966
78,"Agriculture, forestry, fisheries and veterinary",Austria,2021,334.0,46975.0,0.711016498137307,9.868421052631579,0.06386375731772219,11.16501408050737
79,"Agriculture, forestry, fisheries and veterinary",Austria,2022,246.0,42168.0,0.5833807626636311,-26.34730538922156,-0.20868905331056728,-10.233102714209686
80,Arts and humanities,Austria,2013,7317.0,47856.0,15.289618856569708,,,
81,Arts and humanities,Austria,2014,6604.0,43288.0,15.255960081315838,-9.74443077764111,-1.6471077434854924,-9.545302574389837
82,Arts and humanities,Austria,2015,6593.0,45364.0,14.533550833259854,-0.1665657177468201,-0.024248302618816685,4.795786361116244
83,Arts and humanities,Austria,2016,6213.0,47580.0,13.058007566204287,-5.763688760806916,-0.7986548970155527,4.884930782117979
84,Arts and humanities,Austria,2017,5567.0,45180.0,12.32182381584772,-10.397553516819572,-1.4298362107127047,-5.044136191677175
85,Arts and humanities,Austria,2018,5569.0,43796.0,12.715773129966207,0.03592599245554159,0.004566627089231894,-3.063302346170872
86,Arts and humanities,Austria,2019,5234.0,43186.0,12.11966841105914,-6.015442628838211,-0.7757143518732922,-1.3928212622157274
87,Arts and humanities,Austria,2020,5275.0,42257.0,12.483138888231535,0.7833397019487964,0.09702534491326882,-2.151160098179966
88,Arts and humanities,Austria,2021,6183.0,46975.0,13.162320383182545,17.213270142180097,1.932943054816392,11.16501408050737
89,Arts and humanities,Austria,2022,5153.0,42168.0,12.220166951242648,-16.65857997735727,-2.4426105103395943,-10.233102714209686
90,"Business, administration and law",Austria,2013,9800.0,47856.0,20.478100969575394,,,
91,"Business, administration and law",Austria,2014,8010.0,43288.0,18.50397338754389,-18.26530612244898,-4.135095176492331,-9.545302574389837
92,"Business, administration and law",Austria,2015,5806.0,45364.0,12.798695000440878,-27.51560549313358,-4.858478088351997,4.795786361116244
93,"Business, administration and law",Austria,2016,6483.0,47580.0,13.62547288776797,11.660351360661386,1.4228667507356032,4.884930782117979
94,"Business, administration and law",Austria,2017,6766.0,45180.0,14.975652943780434,4.365262995526762,0.6263833554670207,-5.044136191677175
95,"Business, administration and law",Austria,2018,6766.0,43796.0,15.448899442871495,0.0,0.0,-3.063302346170872
96,"Business, administration and law",Austria,2019,8336.0,43186.0,19.302551752882877,23.20425657700266,3.6354374102718476,-1.3928212622157274
97,"Business, administration and law",Austria,2020,7941.0,42257.0,18.792152779421162,-4.738483685220729,-0.9347563717253944,-2.151160098179966
98,"Business, administration and law",Austria,2021,8897.0,46975.0,18.93986162852581,12.038786047097343,2.035125066524747,11.16501408050737
99,"Business, administration and law",Austria,2022,8315.0,42168.0,19.718744071333713,-6.54153085309655,-1.3801935116676154,-10.233102714209686
100,Education,Austria,2013,6031.0,47856.0,12.602390504847877,,,
101,Education,Austria,2014,5773.0,43288.0,13.336259471447052,-4.2778975294312716,-0.5960081315838107,-9.545302574389837
102,Education,Austria,2015,7092.0,45364.0,15.633542015695266,22.84773947687511,2.907591923110837,4.795786361116244
103,Education,Austria,2016,7577.0,47580.0,15.924758301807483,6.838691483361534,1.0193358554014291,4.884930782117979
104,Education,Austria,2017,6478.0,45180.0,14.338202744577247,-14.504421274910914,-2.4324922532093844,-5.044136191677175
105,Education,Austria,2018,6495.0,43796.0,14.830121472280574,0.2624266748996604,0.03881633025847109,-3.063302346170872
106,Education,Austria,2019,6615.0,43186.0,15.31746399296068,1.8475750577367205,0.2778678275367017,-1.3928212622157274
107,Education,Austria,2020,5948.0,42257.0,14.075774427905436,-10.083144368858655,-1.578436708710983,-2.151160098179966
108,Education,Austria,2021,6333.0,46975.0,13.481639169771155,6.472763954270342,0.8195848855774347,11.16501408050737
109,Education,Austria,2022,5643.0,42168.0,13.382185543540125,-10.895310279488395,-1.636311895276039,-10.233102714209686
110,"Engineering, manufacturing and construction",Austria,2013,8139.0,47856.0,17.007271815446337,,,
111,"Engineering, manufacturing and construction",Austria,2014,7763.0,43288.0,17.933376455368695,-4.619732153827251,-0.868600997967104,-9.545302574389837
112,"Engineering, manufacturing and construction",Austria,2015,7986.0,45364.0,17.604267701260913,2.8726007986603115,0.4915792258178291,4.795786361116244
113,"Engineering, manufacturing and construction",Austria,2016,7405.0,47580.0,15.563261874737284,-7.275231655396945,-1.2211013030685163,4.884930782117979
114,"Engineering, manufacturing and construction",Austria,2017,6945.0,45180.0,15.371845949535192,-6.212018906144497,-1.0181496237273129,-5.044136191677175
115,"Engineering, manufacturing and construction",Austria,2018,6643.0,43796.0,15.168051876883734,-4.348452123830093,-0.6895606904740157,-3.063302346170872
116,"Engineering, manufacturing and construction",Austria,2019,6289.0,43186.0,14.562589728152641,-5.328917657684781,-0.81971009123327,-1.3928212622157274
117,"Engineering, manufacturing and construction",Austria,2020,5963.0,42257.0,14.111271505312729,-5.183653999045953,-0.7714698156518446,-2.151160098179966
118,"Engineering, manufacturing and construction",Austria,2021,6451.0,46975.0,13.732836615220862,8.183800100620493,1.0388504523682809,11.16501408050737
119,"Engineering, manufacturing and construction",Austria,2022,5506.0,42168.0,13.05729463099981,-14.648891644706246,-2.2410358565737054,-10.233102714209686
120,Health and welfare,Austria,2013,1658.0,47856.0,3.464560347709796,,,
121,Health and welfare,Austria,2014,1837.0,43288.0,4.243670301238218,10.796139927623644,0.41350951764923305,-9.545302574389837
122,Health and welfare,Austria,2015,2012.0,45364.0,4.435234988096288,9.526401741970604,0.38576845075390176,4.795786361116244
123,Health and welfare,Austria,2016,3156.0,47580.0,6.633039092055485,56.85884691848907,2.404371584699454,4.884930782117979
124,Health and welfare,Austria,2017,2937.0,45180.0,6.50066401062417,-6.939163498098859,-0.48472775564409026,-5.044136191677175
125,Health and welfare,Austria,2018,3183.0,43796.0,7.267787012512558,8.375893769152196,0.5616951319755228,-3.063302346170872
126,Health and welfare,Austria,2019,3619.0,43186.0,8.380030565461029,13.697769399937165,1.009586440050016,-1.3928212622157274
127,Health and welfare,Austria,2020,3922.0,42257.0,9.281302506093665,8.372478585244544,0.717040963627328,-2.151160098179966
128,Health and welfare,Austria,2021,4343.0,46975.0,9.245343267695583,10.734319224885262,0.8962213943587014,11.16501408050737
129,Health and welfare,Austria,2022,4698.0,42168.0,11.14114968696642,8.174073221275616,0.8418706127869475,-10.233102714209686
130,Information and communication technologies,Austria,2013,2355.0,47856.0,4.921013039117352,,,
131,Information and communication technologies,Austria,2014,2468.0,43288.0,5.7013491036776935,4.798301486199576,0.26104232119756055,-9.545302574389837
132,Information and communication technologies,Austria,2015,2443.0,45364.0,5.385327572524469,-1.012965964343598,-0.05510977867912882,4.795786361116244
133,Information and communication technologies,Austria,2016,2718.0,47580.0,5.712484237074401,11.25665165779779,0.5779739386296764,4.884930782117979
134,Information and communication technologies,Austria,2017,2480.0,45180.0,5.489154493138557,-8.75643855776306,-0.5267817618415227,-5.044136191677175
135,Information and communication technologies,Austria,2018,2413.0,43796.0,5.509635583158279,-2.7016129032258065,-0.15298200748926843,-3.063302346170872
136,Information and communication technologies,Austria,2019,2589.0,43186.0,5.99499837910434,7.293825113966017,0.4075394803871625,-1.3928212622157274
137,Information and communication technologies,Austria,2020,2948.0,42257.0,6.976358946446743,13.866357667052917,0.8495633859478904,-2.151160098179966
138,Information and communication technologies,Austria,2021,3192.0,46975.0,6.795103778605641,8.276797829036635,0.5194252261841406,11.16501408050737
139,Information and communication technologies,Austria,2022,2919.0,42168.0,6.922310756972111,-8.552631578947368,-0.647410358565737,-10.233102714209686
140,"Natural sciences, mathematics and statistics",Austria,2013,5157.0,47856.0,10.776078234704112,,,
141,"Natural sciences, mathematics and statistics",Austria,2014,4677.0,43288.0,10.80437996673443,-9.307737056428156,-1.1088523378303454,-9.545302574389837
142,"Natural sciences, mathematics and statistics",Austria,2015,5612.0,45364.0,12.371043117890839,19.99144750908702,2.061105722599418,4.795786361116244
143,"Natural sciences, mathematics and statistics",Austria,2016,6227.0,47580.0,13.087431693989071,10.958660014255168,1.2925598991172762,4.884930782117979
144,"Natural sciences, mathematics and statistics",Austria,2017,5734.0,45180.0,12.69145639663568,-7.917135057009796,-1.0911907923860116,-5.044136191677175
145,"Natural sciences, mathematics and statistics",Austria,2018,5461.0,43796.0,12.469175267147685,-4.7610742936867805,-0.6233445976801534,-3.063302346170872
146,"Natural sciences, mathematics and statistics",Austria,2019,5390.0,43186.0,12.480896586856852,-1.300128181651712,-0.16440513129254852,-1.3928212622157274
147,"Natural sciences, mathematics and statistics",Austria,2020,5126.0,42257.0,12.130534585985753,-4.8979591836734695,-0.624748562368365,-2.151160098179966
148,"Natural sciences, mathematics and statistics",Austria,2021,5871.0,46975.0,12.498137307078233,14.533749512290283,1.585949973390101,11.16501408050737
149,"Natural sciences, mathematics and statistics",Austria,2022,4982.0,42168.0,11.814646177195979,-15.142224493272016,-2.108233731739708,-10.233102714209686
150,Services,Austria,2013,897.0,47856.0,1.8743731193580742,,,
151,Services,Austria,2014,925.0,43288.0,2.1368508593605617,3.121516164994426,0.0646830530401035,-9.545302574389837
152,Services,Austria,2015,645.0,45364.0,1.4218322899215237,-30.270270270270274,-0.6172295212062429,4.795786361116244
153,Services,Austria,2016,599.0,47580.0,1.258932324506095,-7.131782945736434,-0.09667927700714586,4.884930782117979
154,Services,Austria,2017,559.0,45180.0,1.2372731297034085,-6.67779632721202,-0.08853474988933156,-5.044136191677175
155,Services,Austria,2018,772.0,43796.0,1.7627180564435108,38.10375670840787,0.4863457850031967,-3.063302346170872
156,Services,Austria,2019,551.0,43186.0,1.2758764414393553,-28.62694300518135,-0.5117399157134257,-1.3928212622157274
157,Services,Austria,2020,577.0,42257.0,1.365454244267222,4.71869328493648,0.06152826750597535,-2.151160098179966
158,Services,Austria,2021,584.0,46975.0,1.2432144757849921,1.2131715771230502,0.014901543374135177,11.16501408050737
159,Services,Austria,2022,509.0,42168.0,1.2070764560804401,-12.842465753424658,-0.17785998861696076,-10.233102714209686
160,"Social sciences, journalism and information",Austria,2013,6110.0,47856.0,12.767469073888332,,,
161,"Social sciences, journalism and information",Austria,2014,4879.0,43288.0,11.271021992238033,-20.147299509001638,-2.8437442247274074,-9.545302574389837
162,"Social sciences, journalism and information",Austria,2015,6780.0,45364.0,14.945771977779737,38.96290223406436,4.190547570760956,4.795786361116244
163,"Social sciences, journalism and information",Austria,2016,6873.0,47580.0,14.445145018915511,1.3716814159292035,0.19546027742749053,4.884930782117979
164,"Social sciences, journalism and information",Austria,2017,7383.0,45180.0,16.341301460823374,7.420340462680053,1.1288180610889773,-5.044136191677175
165,"Social sciences, journalism and information",Austria,2018,6233.0,43796.0,14.231893323591196,-15.57632398753894,-2.6258105763083384,-3.063302346170872
166,"Social sciences, journalism and information",Austria,2019,4276.0,43186.0,9.90135692122447,-31.397400930531045,-4.5315611540777105,-1.3928212622157274
167,"Social sciences, journalism and information",Austria,2020,4255.0,42257.0,10.06933762453558,-0.49111318989710007,-0.04969590837021085,-2.151160098179966
168,"Social sciences, journalism and information",Austria,2021,4787.0,46975.0,10.190526875997872,12.502937720329024,1.1325172964342736,11.16501408050737
169,"Social sciences, journalism and information",Austria,2022,4199.0,42168.0,9.957787896034908,-12.283267181951118,-1.394422310756972,-10.233102714209686
170,"Agriculture, forestry, fisheries and veterinary",Belgium,2013,2370.0,91544.0,2.5889189897754084,,,
171,"Agriculture, forestry, fisheries and veterinary",Belgium,2014,2480.0,90154.0,2.7508485480400204,4.641350210970464,0.12201344366306542,-1.5183955256488684
172,"Agriculture, forestry, fisheries and veterinary",Belgium,2015,1983.0,91512.0,2.1669289273537897,-20.04032258064516,-0.5430981729172131,1.506311422676753
173,"Agriculture, forestry, fisheries and veterinary",Belgium,2016,2122.0,97610.0,2.173957586312878,7.009581442259203,0.1424034422702592,6.663606958650231
174,"Agriculture, forestry, fisheries and veterinary",Belgium,2017,2289.0,104313.0,2.19435736677116,7.869934024505183,0.16009509840575958,6.867124270054298
175,"Agriculture, forestry, fisheries and veterinary",Belgium,2018,2097.0,95125.0,2.204467805519054,-8.387942332896461,-0.2018396846254928,-8.808106372168378
176,"Agriculture, forestry, fisheries and veterinary",Belgium,2019,2096.0,93205.0,2.2488063945067323,-0.04768717215069146,-0.0010729038141730593,-2.0183968462549275
177,"Agriculture, forestry, fisheries and veterinary",Belgium,2020,2042.0,93966.0,2.1731264499925507,-2.5763358778625953,-0.057467594661898984,0.8164798025856982
178,"Agriculture, forestry, fisheries and veterinary",Belgium,2021,2092.0,91834.0,2.2780233900298366,2.4485798237022527,0.05444606572729054,-2.268905774429049
179,"Agriculture, forestry, fisheries and veterinary",Belgium,2022,2268.0,97266.0,2.3317500462648817,8.413001912045889,0.18094709353731006,5.915020580612844
180,Arts and humanities,Belgium,2013,10236.0,91544.0,11.181508345713537,,,
181,Arts and humanities,Belgium,2014,9834.0,90154.0,10.908001863478049,-3.9273153575615476,-0.44590367593229363,-1.5183955256488684
182,Arts and humanities,Belgium,2015,8840.0,91512.0,9.65993530903051,-10.107789302420175,-1.0861963458344261,1.506311422676753
183,Arts and humanities,Belgium,2016,10191.0,97610.0,10.440528634361234,15.282805429864254,1.3840795000512243,6.663606958650231
184,Arts and humanities,Belgium,2017,9999.0,104313.0,9.585574185384372,-1.8840153076243746,-0.1840614305024302,6.867124270054298
185,Arts and humanities,Belgium,2018,9285.0,95125.0,9.76084099868594,-7.140714071407141,-0.7505913272010513,-8.808106372168378
186,Arts and humanities,Belgium,2019,8955.0,93205.0,9.607853655919747,-3.5541195476575123,-0.3540582586771096,-2.0183968462549275
187,Arts and humanities,Belgium,2020,8793.0,93966.0,9.357639997445885,-1.809045226130653,-0.17240278398569694,0.8164798025856982
188,Arts and humanities,Belgium,2021,8530.0,91834.0,9.288498813075767,-2.991015580575458,-0.2863863057255483,-2.268905774429049
189,Arts and humanities,Belgium,2022,8966.0,97266.0,9.218020685542738,5.1113716295427905,0.44825529989924545,5.915020580612844
190,"Business, administration and law",Belgium,2013,18049.0,91544.0,19.71620204491829,,,
191,"Business, administration and law",Belgium,2014,18054.0,90154.0,20.025733744481666,0.027702365782037785,0.005546065621048428,-1.5183955256488684
192,"Business, administration and law",Belgium,2015,19707.0,91512.0,21.53488067138736,9.155865736124959,1.8063204825596644,1.506311422676753
193,"Business, administration and law",Belgium,2016,21872.0,97610.0,22.40754021104395,10.985944080783478,2.218010449749001,6.663606958650231
194,"Business, administration and law",Belgium,2017,24260.0,104313.0,23.25692866660915,10.918068763716168,2.2892640418739756,6.867124270054298
195,"Business, administration and law",Belgium,2018,22067.0,95125.0,23.19789750328515,-9.03957131079967,-2.3053876478318,-8.808106372168378
196,"Business, administration and law",Belgium,2019,22101.0,93205.0,23.712247197038785,0.1540762224135587,0.036478729681884016,-2.0183968462549275
197,"Business, administration and law",Belgium,2020,22494.0,93966.0,23.93844582082881,1.7782000814442787,0.4182363833727093,0.8164798025856982
198,"Business, administration and law",Belgium,2021,21996.0,91834.0,23.951913234749657,-2.213923712990131,-0.5422828146438139,-2.268905774429049
199,"Business, administration and law",Belgium,2022,23211.0,97266.0,23.86342606871877,5.523731587561375,1.249151810499044,5.915020580612844
200,Education,Belgium,2013,10613.0,91544.0,11.593332168137726,,,
201,Education,Belgium,2014,10180.0,90154.0,11.2917896044546,-4.07990200697258,-0.48028928278279387,-1.5183955256488684
202,Education,Belgium,2015,9877.0,91512.0,10.793120027974473,-2.9764243614931236,-0.3311041174927878,1.506311422676753
203,Education,Belgium,2016,9784.0,97610.0,10.023563159512346,-0.9415814518578515,-0.09527712324556908,6.663606958650231
204,Education,Belgium,2017,10909.0,104313.0,10.457948673703182,11.498364677023712,1.078484944350177,6.867124270054298
205,Education,Belgium,2018,9054.0,95125.0,9.518002628120893,-17.00430836923641,-1.950065703022339,-8.808106372168378
206,Education,Belgium,2019,8514.0,93205.0,9.134703073869428,-5.964214711729622,-0.5793680596534521,-2.0183968462549275
207,Education,Belgium,2020,8464.0,93966.0,9.007513355894686,-0.5872680291284942,-0.05321073579805461,0.8164798025856982
208,Education,Belgium,2021,7763.0,91834.0,8.45329616481913,-8.282136105860113,-0.7633338414966133,-2.268905774429049
209,Education,Belgium,2022,7810.0,97266.0,8.029527275718134,0.6054360427669716,0.04832109884234985,5.915020580612844
210,"Engineering, manufacturing and construction",Belgium,2013,9921.0,91544.0,10.837411517958577,,,
211,"Engineering, manufacturing and construction",Belgium,2014,10203.0,90154.0,11.317301506311424,2.8424553976413667,0.31279810102713135,-1.5183955256488684
212,"Engineering, manufacturing and construction",Belgium,2015,10389.0,91512.0,11.352609493836875,1.822993237283152,0.20325203252032523,1.506311422676753
213,"Engineering, manufacturing and construction",Belgium,2016,11055.0,97610.0,11.325683843868456,6.410626624314178,0.6823071406618174,6.663606958650231
214,"Engineering, manufacturing and construction",Belgium,2017,11773.0,104313.0,11.286225110964118,6.4947987336047035,0.6883130578163795,6.867124270054298
215,"Engineering, manufacturing and construction",Belgium,2018,11083.0,95125.0,11.650985545335086,-5.860868087997961,-0.7253613666228645,-8.808106372168378
216,"Engineering, manufacturing and construction",Belgium,2019,10938.0,93205.0,11.735421919424924,-1.308310024361635,-0.15557105305509364,-2.0183968462549275
217,"Engineering, manufacturing and construction",Belgium,2020,11313.0,93966.0,12.039461081667838,3.428414701042238,0.3990805184854096,0.8164798025856982
218,"Engineering, manufacturing and construction",Belgium,2021,10478.0,91834.0,11.409717533811007,-7.380889242464421,-0.909249297645752,-2.268905774429049
219,"Engineering, manufacturing and construction",Belgium,2022,10588.0,97266.0,10.885612649846811,1.0498186676846726,0.11309193346081878,5.915020580612844
220,Health and welfare,Belgium,2013,23445.0,91544.0,25.610635322904834,,,
