DATAFLOW,LAST UPDATE,freq,nace_r2,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Austria,2021,80.2,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Austria,2022,85.1,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Austria,2023,82.4,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Belgium,2008,75.1,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Belgium,2009,70.9,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Belgium,2010,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Belgium,2011,80.8,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Belgium,2012,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Belgium,2013,91.3,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Belgium,2014,,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Belgium,2015,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Belgium,2016,80.0,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Belgium,2017,72.9,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Belgium,2018,78.7,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Belgium,2019,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Belgium,2020,75.2,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Belgium,2021,89.8,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Belgium,2022,90.6,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Belgium,2023,76.9,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Bulgaria,2008,,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Bulgaria,2009,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Bulgaria,2010,,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Bulgaria,2011,,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Bulgaria,2012,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Bulgaria,2013,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Bulgaria,2014,,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Bulgaria,2015,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Bulgaria,2016,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Bulgaria,2017,65.5,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Bulgaria,2018,57.8,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Bulgaria,2019,,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Bulgaria,2020,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Bulgaria,2021,,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Bulgaria,2022,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Bulgaria,2023,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Cyprus,2008,,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Cyprus,2009,,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Cyprus,2010,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Cyprus,2011,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Cyprus,2012,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Cyprus,2013,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Cyprus,2014,,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Cyprus,2015,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Cyprus,2016,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Cyprus,2017,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Cyprus,2018,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Cyprus,2019,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Cyprus,2020,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Cyprus,2021,100.0,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Cyprus,2022,100.0,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Cyprus,2023,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Czechia,2008,20.6,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Czechia,2009,24.6,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Czechia,2010,22.7,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Czechia,2011,31.8,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Czechia,2012,38.6,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Czechia,2013,33.4,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Czechia,2014,30.9,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Czechia,2015,33.6,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Czechia,2016,30.3,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Czechia,2017,32.1,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Czechia,2018,25.1,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Czechia,2019,33.0,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Czechia,2020,23.1,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Czechia,2021,17.2,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Czechia,2022,39.4,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Czechia,2023,35.3,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Germany,2008,68.7,b
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Germany,2009,71.2,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Germany,2010,73.7,b
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Germany,2011,74.3,b
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Germany,2012,70.3,b
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Germany,2013,75.6,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Germany,2014,79.1,b
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Germany,2015,74.9,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Germany,2016,71.2,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Germany,2017,73.0,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Germany,2018,74.7,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Germany,2019,81.6,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Germany,2020,,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Germany,2021,65.7,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Germany,2022,66.2,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Germany,2023,69.7,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Denmark,2008,74.5,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Denmark,2009,91.6,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Denmark,2010,86.7,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Denmark,2011,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Denmark,2012,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Denmark,2013,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Denmark,2014,,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Denmark,2015,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Denmark,2016,,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Denmark,2017,,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Denmark,2018,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Denmark,2019,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Denmark,2020,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Denmark,2021,73.6,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Denmark,2022,77.5,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Denmark,2023,,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Estonia,2008,,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Estonia,2009,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Estonia,2010,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Estonia,2011,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Estonia,2012,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Estonia,2013,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Estonia,2014,,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Estonia,2015,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Estonia,2016,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Estonia,2017,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Estonia,2018,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Estonia,2019,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Estonia,2020,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Estonia,2021,,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Estonia,2022,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Estonia,2023,,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Greece,2008,56.7,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Greece,2009,63.8,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Greece,2010,67.3,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Greece,2011,85.5,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Greece,2012,92.4,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Greece,2013,86.6,u
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Greece,2014,91.5,bu
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Greece,2015,96.3,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Greece,2016,92.7,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Greece,2017,91.5,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Greece,2018,94.5,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Greece,2019,85.9,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Greece,2020,81.3,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Greece,2021,94.1,b
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Greece,2022,91.7,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Greece,2023,96.7,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Spain,2008,73.3,b
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Spain,2009,76.8,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Spain,2010,72.4,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Spain,2011,75.3,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Spain,2012,77.2,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Spain,2013,70.3,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Spain,2014,81.8,b
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Spain,2015,78.6,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Spain,2016,83.5,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Spain,2017,80.4,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Spain,2018,74.7,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Spain,2019,72.5,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Spain,2020,73.7,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Spain,2021,85.1,bd
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Spain,2022,87.1,d
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,Spain,2023,82.5,d
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,European Union - 27 countries (from 2020),2008,68.8,b
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,European Union - 27 countries (from 2020),2009,69.2,
ESTAT:LFSA_EOQGAN2(1.0),12/12/24 23:00:00,Annual,"Agriculture, forestry and fishing",From 20 to 34 years,Total,Percentage,European Union - 27 countries (from 2020),2010,71.1,
